Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\mercury.png,0.192,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.153,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,1.182,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,1.379,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,1.112,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.783,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.684,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.803,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.289,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.142,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.391,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.806,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.268,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,1.053,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.686,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.621,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.015,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"Q9aGAOI0JhtrsY-AAYeZzQ"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.273,True,OK
