FileName,"Error","NameError","TemplateField.Name","DocumentField.Name","RegonitionTypeError","TemplateField.RecognitionFieldType","DocumentField.RecognitionFieldType","FormFieldGroupError","TemplateField.FormFieldGroup","DocumentField.FormFieldGroup","LabelAreaError","TemplateField.LabelArea","DocumentField.LabelArea","LabelTextError","TemplateField.LabelText","DocumentField.LabelText","DataAreaError","TemplateField.DataArea","DocumentField.DataArea","DataTextError","TemplateField.DataText","DocumentField.DataText","DocumentField.Validation"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\186395.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1715,Y=625,Width=127,Height=50}","{X=1730,Y=632,Width=91,Height=28}","","PO#:","PO#:","DIFF","{X=1833,Y=608,Width=258,Height=75}","{X=0,Y=0,Width=0,Height=0}","","~","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\186395.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1670,Y=555,Width=168,Height=54}","{X=1671,Y=572,Width=150,Height=30}","","Invoice:","Invoice:","DIFF","{X=1837,Y=555,Width=242,Height=67}","{X=1841,Y=571,Width=198,Height=30}","DIFF","~I-608-00065","~1-608-00065","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\186395.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1725,Y=691,Width=96,Height=29}","{X=1725,Y=691,Width=96,Height=29}","","Date:","Date:","","{X=1842,Y=689,Width=185,Height=36}","{X=1842,Y=689,Width=185,Height=36}","","~5/2/2012","~05/02/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\186395.tif","Field Error","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","","{X=1428,Y=1317,Width=126,Height=29}","{X=1428,Y=1317,Width=126,Height=29}","","Totals:","Totals:","ERROR EMPTY","{X=1911,Y=1298,Width=152,Height=59}","{X=1588,Y=1317,Width=108,Height=29}","DIFF","~119.60","~125.00","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\28143606.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1939,Y=138,Width=221,Height=52}","{X=1933,Y=148,Width=186,Height=23}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1958,Y=199,Width=178,Height=38}","{X=1970,Y=198,Width=145,Height=30}","","~4/27/2012","~04/27/12","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\28143606.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=2220,Y=152,Width=156,Height=22}","{X=2214,Y=147,Width=156,Height=22}","","INVOICE NO","INVOICE NO","DIFF","{X=2307,Y=196,Width=150,Height=36}","{X=2357,Y=231,Width=95,Height=34}","DIFF","~177334","~PNW","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\28143606.tif","Field Error","","Purchase Order","Purchase Order","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=726,Y=153,Width=197,Height=23}","{X=720,Y=154,Width=197,Height=23}","","CUST. P. O. NO.","CUST. P. O. NO.","DIFF","{X=775,Y=202,Width=121,Height=30}","{X=0,Y=0,Width=0,Height=0}","ERROR","~148799","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\28143606.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1564,Y=1295,Width=224,Height=21}","{X=1562,Y=1293,Width=224,Height=20}","","PAY THIS AMOUNT","PAY THIS AMOUNT","DIFF","{X=1862,Y=1291,Width=186,Height=63}","{X=1882,Y=1286,Width=153,Height=48}","DIFF","~191.15","~191.1N","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\28143606.tif","Error template/document field mis-matched","ERROR","Back Ordered Qty","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","ItemsFormFieldGroup","DIFF","{X=281,Y=422,Width=125,Height=42}","{X=273,Y=443,Width=130,Height=19}","","B. O. QTY","B. O. QTY","","{X=0,Y=0,Width=0,Height=0}","{X=0,Y=0,Width=0,Height=0}","","~","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\32018921.tif","Field Error","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1565,Y=528,Width=205,Height=26}","{X=1552,Y=523,Width=146,Height=25}","DIFF","Invoice #:","Invoice","ERROR EMPTY","{X=1803,Y=529,Width=102,Height=24}","{X=1722,Y=522,Width=35,Height=26}","DIFF","~38558","~9:","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\32018921.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1963,Y=2932,Width=120,Height=24}","{X=1977,Y=2922,Width=120,Height=24}","","Total :","Total :","DIFF","{X=2236,Y=2929,Width=142,Height=28}","{X=2250,Y=2917,Width=142,Height=28}","","~$205.90","~$205.90","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\32018921.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1661,Y=606,Width=123,Height=30}","{X=1659,Y=599,Width=99,Height=26}","","PO #:","PO #:","DIFF","{X=1807,Y=606,Width=172,Height=38}","{X=1811,Y=599,Width=126,Height=31}","DIFF","~149641","~149641)","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\32018921.tif","Error template/document field mis-matched","ERROR","Amount","Total Due","DIFF","GeneralText","Currency","DIFF","UnknownFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=554,Y=2882,Width=127,Height=29}","{X=565,Y=2884,Width=120,Height=23}","DIFF","Total","Total:","DIFF","{X=749,Y=2865,Width=221,Height=46}","{X=815,Y=2882,Width=143,Height=29}","DIFF","~-$205 . 90","~$205.90","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\32018921.tif","ERROR no document field","","Invoice Date","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=0,Y=0,Width=0,Height=0}","{X=0,Y=0,Width=0,Height=0}","","","","","{X=1567,Y=480,Width=217,Height=46}","{X=0,Y=0,Width=0,Height=0}","","~5/17/2012","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\39538175.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","","{X=1391,Y=2984,Width=123,Height=28}","{X=1391,Y=2984,Width=123,Height=28}","","TOTAL","TOTAL","","{X=1849,Y=2984,Width=160,Height=34}","{X=1849,Y=2984,Width=160,Height=34}","","~$57.10","~$57.10","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\39538175.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1097,Y=1169,Width=201,Height=22}","{X=1097,Y=1169,Width=201,Height=22}","","INVOICE DATE","INVOICE DATE","","{X=1115,Y=1215,Width=243,Height=29}","{X=1115,Y=1215,Width=243,Height=29}","","~5/16/2012","~16 MAY 12","Unvalidated"
