CALL#,TITLE,Title,Permanent Link,Title with Hyperlink,SUBJECT,INDEX/GUIDE,,,INDEX/GUIDE,SERIES
MFF1,Recueil des Historians des Gaules et de la France,Recueil des Historians des Gaules et de la France,http://library.tufts.edu:80/record=b1322588~S1,Recueil des Historians des Gaules et de la France,Soc. Sciences,,,,"Vols. 1-8 edited by M. Bouquet.;""Introductory material in French and Latin, texts primarily in Latin."";""Publisher varies."";""Includes bibliographical references and indexes."";""Microfiche. Washington, D.C. : Microcard Editions, 1966. 356 microfiches 11 x","Rerum Gallicarum et Francicarum scriptores;""Rerum Gallicarum et Francicarum scriptores."""
MFF2,"Nation, The","Nation, The",http://library.tufts.edu:80/record=b1661089~S1,"Nation, The",General,,,,"Description based on: Vol. 2, no. 53 (July 5, 1866); title from caption. Issues for March 13 and 20, 1976 incorrectly numbered, but constitute v. 222, no. 10 and no. 11.",
MFF3,Works of the Camden Society - Series 1,Works of the Camden Society - Series 1,http://library.tufts.edu:80/record=b1328378~S1,Works of the Camden Society - Series 1,Soc. Sciences,,,,"Includes indexes.;""Microfiche. Washington, D.C. : NCR Microcard Editions, [1966]. 6 microfiches 7.5 x 12.5 cm.""","[Publications / Camden Society   no. 102];""Works of the Camden Society   no. 102."""
MFF4,"Descriptive Catalogue of the First Series of the Works of the Camden Society, A","Descriptive Catalogue of the First Series of the Works of the Camden Society, A",http://library.tufts.edu:80/record=b1321095~S1,"Descriptive Catalogue of the First Series of the Works of the Camden Society, A",Soc. Sciences,,,,"Microfiche. Washington, D.C. : NCR Microcard Editions, [196-]. 4 microfiches 7.5 x 12.5 cm.",
MFF5,"Writings of George Washington from the Original Manuscript Sources, The, 1745-1799","Writings of George Washington from the Original Manuscript Sources, The, 1745-1799",http://library.tufts.edu:80/record=b1321050~S1,"Writings of George Washington from the Original Manuscript Sources, The, 1745-1799",Soc. Sciences,,,,"General index by David M. Matteson : v. 38-39.;""Microfiche. Washington, Microcard Editions, 1969. 234 sheets. 10.5 x 15 cm.""",
MFF6,"Prince Society, Boston","Prince Society, Boston",http://library.tufts.edu:80/record=b1321051~S1,"Prince Society, Boston",Soc. Sciences,,,,"Microfiche. Washington, Microcard Editions, 1967. 2 sheets. 10.5 x 15 cm.","Publications of the Prince Society   v. 1;""Publications of the Prince Society   v. 1."""
MFF7,"Acts of the Privy Council of England, Colonial Series","Acts of the Privy Council of England, Colonial Series",http://library.tufts.edu:80/record=b1322125~S1,"Acts of the Privy Council of England, Colonial Series",Soc. Sciences,,,,"Edited through the direction of the lord president of the Council by W. L. Grant and James Munro, under the general supervision of Sir Almeric W. Fitzroy, clerk of the Privy Council.;""Published by the authority of the lords commissioners of His Majesty's",
MFF8,New Republic,New Republic,http://library.tufts.edu:80/record=b1672809~S1,New Republic,General,,,,"Title from cover. Editors: 1914- Herbert Croly and others. Published: Washington, D.C. : The New Republic, LLC, <2007-> Latest issue consulted: Vol. 236, no. 13 (Apr. 2, 2007). Some issues combined.",
MFF9,De Bow's Review (Government Document),De Bow's Review (Government Document),http://library.tufts.edu:80/record=b1673461~S1,De Bow's Review (Government Document),Soc. Sciences,,,,,
MFF10,Crisis & National Cooperative Trades & Union Gazette,Crisis & National Cooperative Trades & Union Gazette,http://library.tufts.edu:80/record=b1680891~S1,Crisis & National Cooperative Trades & Union Gazette,Soc. Sciences,,,,"Microfiche of reprint. Westport, N.Y. : Greenwood Pub. Corp, Microform Division. 8 microfiches.",
MFF11,New Moral World - London,New Moral World - London,http://library.tufts.edu:80/record=b1674599~S1,New Moral World - London,Soc. Sciences,,,,"Issues for Nov. 1, 1834-Aug. 23, 1845 also called v. 1-13. Has supplements. Reprint of a weekly originally published in London and ""conducted by Robert Owen and his disciples.""",Radical periodicals of Great Britain
MFF12,Science Policy Bulletin,Science Policy Bulletin,http://library.tufts.edu:80/record=b1676439~S1,Science Policy Bulletin,Science,,,,,
MFF13,ERIC Reports,ERIC Reports,http://library.tufts.edu:80/record=b1675963~S1,ERIC Reports,Soc. Sciences,,,,Description based on: Aug. 1990 (ED 316 640- Title on box: RIE. Contains full text of all documents abstracted in the monthly journal Resources in education. The first document in each month's collection is the corresponding issue of the journal.,
MFF14,Great Britain Historical Manuscripts Commission,Great Britain Historical Manuscripts Commission,http://library.tufts.edu:80/record=b1646051~S1,Great Britain Historical Manuscripts Commission,Soc. Sciences,,,,"HMSO. Sectional List No. 17, and Guide to the reports, parts I and II.;""Microcard. Washington, D.C., Microcard Editions, 1962. 1305 cards. 7.5 x 12.5 cm.""",
MFF15,Microform Review,Microform Review,http://library.tufts.edu:80/record=b1669163~S1,Microform Review,General,,,,"At head of title, 1972-<, Oct. 1975->: MR.",
MFF19,"Ancient Interface, The","Ancient Interface, The",http://library.tufts.edu:80/record=b1103829~S1,"Ancient Interface, The",Science,,,,"Includes bibliographical references.;""Library also has microfiche copy. [North Hollywood, Calif. : Western Periodicals, Co., 1970, c1969. 5 microfiches 11 x 15 cm.""","American Institute of Aeronautics and Astronautics lecture series;""AIAA Los Angeles Section monographs, v. 8"";""LA Section monographs   v. 8."";""American Institute of Aeronautics and Astronautics lecture series."""
MFF22,Theodor Wiegand - Reisen in Mysien,Theodor Wiegand - Reisen in Mysien,http://library.tufts.edu:80/record=b1361015~S1,Theodor Wiegand - Reisen in Mysien,Soc. Sciences,,,,"Caption title.;""Microfiche. Zug, Switzerland, Interdocumentation Co., [1974?]. 3 microfiches 9 x 12 cm."";""s 1974 sz n b""","Mittelungen des Kaiserlich Deutschen Archäologischen Instituts. Athenische Abtelilung, v. 29 (1904);""Mittelungen des Kaiserlich Deutschen Archäologischen Instituts. Athenische Abtelilung, v. 29 (1904)"""
MFF23,"Researches in Asia Minor, Pontus & Armenia  (W.J. Hamilton)","Researches in Asia Minor, Pontus & Armenia  (W.J. Hamilton)",http://library.tufts.edu:80/record=b1257463~S1,"Researches in Asia Minor, Pontus & Armenia  (W.J. Hamilton)",Soc. Sciences,,,,"Includes index.;""Microfiche. Zug, Switzerland : International Documentation Center, [1974?]. 22 microfiches 9 x 12 cm.""",
MFF25,Modern Quarterly (A Journal of Radical Opinion),Modern Quarterly (A Journal of Radical Opinion),http://library.tufts.edu:80/record=b1676440~S1,Modern Quarterly (A Journal of Radical Opinion),General,,,,"Publication suspended 1930-31. Vol. 6, no. 4 never published.",Radical periodicals in the United States
MFF26,Province in Rebellion: A Documentary History of the Founding of the Commonwealth of Massachusetts,Province in Rebellion: A Documentary History of the Founding of the Commonwealth of Massachusetts,http://library.tufts.edu:80/record=b1104726~S1,Province in Rebellion: A Documentary History of the Founding of the Commonwealth of Massachusetts,Soc. Sciences,,,,"Microfiche.;"" A publication of the Massachusetts Revolutionary War Bicentennial Commission. "";""Includes bibliographical references.""",
MFF27,Publications de l'A.U.D.I.R - Les Institutions Regionales et la Societe Locale,Publications de l'A.U.D.I.R - Les Institutions Regionales et la Societe Locale,http://library.tufts.edu:80/record=b1032853~S1,Publications de l'A.U.D.I.R - Les Institutions Regionales et la Societe Locale,Soc. Sciences,,,,"Microfiche. Paris, Hachette, 1973. 3 microfiches 11 x 15 cm.","Publications de l'A.U.D.I.R.;""Publications de l'A.U.D.I.R."""
MFF28,Publications de l'A.U.D.I.R - La Mise en Place des Institutions Regionales,Publications de l'A.U.D.I.R - La Mise en Place des Institutions Regionales,http://library.tufts.edu:80/record=b1361675~S1,Publications de l'A.U.D.I.R - La Mise en Place des Institutions Regionales,Soc. Sciences,,,,"Microfiche. Paris : Hachette, 1973. 2 microfiches : negative 11 x 15 cm. (Publications de l'A.U.D.I.R.);""s 1973 fr n""",
MFF29,On Meeting Real People: An Evaluation Report of Vegetable Soup,On Meeting Real People: An Evaluation Report of Vegetable Soup,http://library.tufts.edu:80/record=b1228242~S1,On Meeting Real People: An Evaluation Report of Vegetable Soup,Soc. Sciences,,,,"Microfiche. 3 leaves 10.5 x 15 cm.;"" Contract no. C82456. "";""Bibliography: p. 189-192.""",
MFF31,Journal of Chemical Research,Journal of Chemical Research,http://library.tufts.edu:80/record=b1661733~S1,Journal of Chemical Research,Science,,,,,
